Stock,ADV,ADTV,Volatility,rtn,spread_bps,quote_size
000001.SZSE,8.342043e+007,1.563842e+009,0.0162697,0.02251621,6.987517,34388.73
600030.SHSE,9.497093e+007,2.775817e+009,0.0145191,0.01489358,4.128124,45190.87
