parentid,childid,date,sym,time,price,size
V002,V002_46,2020/12/3,600030.SHSE,10:35:13,30.87,22200
V002,V002_47,2020/12/3,600030.SHSE,10:38:04,30.9,3400
V002,V002_48,2020/12/3,600030.SHSE,10:38:28,30.9,14900
V002,V002_49,2020/12/3,600030.SHSE,10:39:06,30.91,11100
V002,V002_50,2020/12/3,600030.SHSE,10:40:25,30.96,5400
V002,V002_51,2020/12/3,600030.SHSE,10:43:55,31,19400
V002,V002_52,2020/12/3,600030.SHSE,10:45:16,30.97,4000
V002,V002_53,2020/12/3,600030.SHSE,10:45:52,30.98,1600
V002,V002_54,2020/12/3,600030.SHSE,10:46:01,30.97,2200
V002,V002_55,2020/12/3,600030.SHSE,10:46:25,30.96,4000
V002,V002_56,2020/12/3,600030.SHSE,10:47:08,30.94,100
V002,V002_57,2020/12/3,600030.SHSE,10:47:38,30.93,33400
V002,V002_58,2020/12/3,600030.SHSE,10:50:15,30.94,3800
V002,V002_59,2020/12/3,600030.SHSE,10:50:46,30.93,13500
V002,V002_60,2020/12/3,600030.SHSE,10:54:04,30.87,5100
V002,V002_61,2020/12/3,600030.SHSE,10:55:10,30.88,2900
V002,V002_62,2020/12/3,600030.SHSE,10:56:13,30.88,1800
V002,V002_63,2020/12/3,600030.SHSE,10:58:11,30.89,400
V002,V002_64,2020/12/3,600030.SHSE,10:58:52,30.95,600
V002,V002_65,2020/12/3,600030.SHSE,10:58:55,30.95,5900
V002,V002_66,2020/12/3,600030.SHSE,11:00:28,30.89,500
V002,V002_67,2020/12/3,600030.SHSE,11:01:04,30.88,4800
V002,V002_68,2020/12/3,600030.SHSE,11:02:33,30.85,1200
V002,V002_69,2020/12/3,600030.SHSE,11:02:50,30.82,11700
V002,V002_70,2020/12/3,600030.SHSE,11:03:28,30.85,10100
V002,V002_71,2020/12/3,600030.SHSE,11:04:13,30.88,300
V002,V002_72,2020/12/3,600030.SHSE,11:07:04,30.91,1200
V002,V002_73,2020/12/3,600030.SHSE,11:07:15,30.91,2100
V002,V002_74,2020/12/3,600030.SHSE,11:07:34,30.9,200
V002,V002_75,2020/12/3,600030.SHSE,11:08:02,30.9,1500
V002,V002_76,2020/12/3,600030.SHSE,11:09:31,30.93,1300
V002,V002_77,2020/12/3,600030.SHSE,11:11:50,30.95,2300
V002,V002_78,2020/12/3,600030.SHSE,11:12:13,30.97,3600
V002,V002_79,2020/12/3,600030.SHSE,11:18:11,30.98,400
V002,V002_80,2020/12/3,600030.SHSE,11:18:13,30.98,400
V002,V002_81,2020/12/3,600030.SHSE,11:18:30,30.97,100
V002,V002_82,2020/12/3,600030.SHSE,11:20:45,31.02,100
V002,V002_83,2020/12/3,600030.SHSE,11:21:54,30.98,2900
V002,V002_84,2020/12/3,600030.SHSE,11:27:01,31.05,14400
V002,V002_85,2020/12/3,600030.SHSE,11:28:01,31.03,600
V002,V002_86,2020/12/3,600030.SHSE,11:29:31,31.03,3300
V002,V002_87,2020/12/3,600030.SHSE,13:00:56,31.07,16500
V002,V002_88,2020/12/3,600030.SHSE,13:03:02,31.04,1900
V002,V002_89,2020/12/3,600030.SHSE,13:03:32,31.05,5200
V002,V002_90,2020/12/3,600030.SHSE,13:05:14,31.02,11800
V002,V002_91,2020/12/3,600030.SHSE,13:06:02,31.02,2100
V002,V002_92,2020/12/3,600030.SHSE,13:06:29,31.03,1100
V002,V002_93,2020/12/3,600030.SHSE,13:06:53,31.04,79900
V002,V002_94,2020/12/3,600030.SHSE,13:08:14,31.06,10700
V002,V002_95,2020/12/3,600030.SHSE,13:08:38,31.05,2900
V002,V002_96,2020/12/3,600030.SHSE,13:10:32,31.1,9300
V002,V002_97,2020/12/3,600030.SHSE,13:15:02,31.09,27400
V002,V002_98,2020/12/3,600030.SHSE,13:15:11,31.11,1200
V002,V002_99,2020/12/3,600030.SHSE,13:15:20,31.14,19700
V002,V002_100,2020/12/3,600030.SHSE,13:15:32,31.16,17700
V002,V002_101,2020/12/3,600030.SHSE,13:18:41,31.11,3100
V002,V002_102,2020/12/3,600030.SHSE,13:18:46,31.12,4300
V002,V002_103,2020/12/3,600030.SHSE,13:19:23,31.1,20200
V002,V002_104,2020/12/3,600030.SHSE,13:19:55,31.08,4400
V002,V002_105,2020/12/3,600030.SHSE,13:20:14,31.08,14500
V002,V002_106,2020/12/3,600030.SHSE,13:20:50,31.06,6900
V002,V002_107,2020/12/3,600030.SHSE,13:22:28,31.09,100
V002,V002_108,2020/12/3,600030.SHSE,13:23:09,31.1,100
V002,V002_109,2020/12/3,600030.SHSE,13:25:40,31.09,1400
V002,V002_110,2020/12/3,600030.SHSE,13:27:35,31.11,10100
V002,V002_111,2020/12/3,600030.SHSE,13:28:44,31.07,2200
V002,V002_112,2020/12/3,600030.SHSE,13:29:05,31.06,400
V002,V002_113,2020/12/3,600030.SHSE,13:29:53,31.06,4800
V002,V002_114,2020/12/3,600030.SHSE,13:30:17,31.05,25700
V002,V002_115,2020/12/3,600030.SHSE,13:33:07,31.03,500
V002,V002_116,2020/12/3,600030.SHSE,13:34:05,31.02,8200
V002,V002_117,2020/12/3,600030.SHSE,13:34:11,31.02,2400
V002,V002_118,2020/12/3,600030.SHSE,13:34:40,31.01,100
V002,V002_119,2020/12/3,600030.SHSE,13:35:31,31.02,500
V002,V002_120,2020/12/3,600030.SHSE,13:36:29,31.02,4200
V002,V002_121,2020/12/3,600030.SHSE,13:38:23,31,9400
V002,V002_122,2020/12/3,600030.SHSE,13:39:17,31.04,200
V002,V002_123,2020/12/3,600030.SHSE,13:42:22,31.03,1000
V002,V002_124,2020/12/3,600030.SHSE,13:43:17,31.04,800
V002,V002_125,2020/12/3,600030.SHSE,13:44:53,31.08,10500
V002,V002_126,2020/12/3,600030.SHSE,13:47:33,31.02,100
V002,V002_127,2020/12/3,600030.SHSE,13:47:38,31.02,8700
V002,V002_128,2020/12/3,600030.SHSE,13:48:37,31.02,4500
V002,V002_129,2020/12/3,600030.SHSE,13:48:44,31.03,1700
V002,V002_130,2020/12/3,600030.SHSE,13:50:20,31,12900
V002,V002_131,2020/12/3,600030.SHSE,13:50:26,30.99,1400
V002,V002_132,2020/12/3,600030.SHSE,13:51:41,30.95,2000
V002,V002_133,2020/12/3,600030.SHSE,13:52:36,30.93,3100
V002,V002_134,2020/12/3,600030.SHSE,13:57:14,30.92,3100
V002,V002_135,2020/12/3,600030.SHSE,13:57:39,30.91,2700
V002,V002_136,2020/12/3,600030.SHSE,13:59:44,30.94,1700
V003,V003_1,2020/12/9,000001.SZSE,9:25:00,18.79,23500
V003,V003_2,2020/12/9,000001.SZSE,9:31:12,18.93,78900
V003,V003_3,2020/12/9,000001.SZSE,9:31:39,18.9,2200
V003,V003_4,2020/12/9,000001.SZSE,9:31:57,18.91,9900
V003,V003_5,2020/12/9,000001.SZSE,9:33:06,18.97,68200
V003,V003_6,2020/12/9,000001.SZSE,9:42:42,18.88,6700
V003,V003_7,2020/12/9,000001.SZSE,9:43:57,18.95,200
V003,V003_8,2020/12/9,000001.SZSE,9:44:12,18.93,2200
V003,V003_9,2020/12/9,000001.SZSE,9:45:06,18.9399,17500
V003,V003_10,2020/12/9,000001.SZSE,9:45:45,18.89,14500
V003,V003_11,2020/12/9,000001.SZSE,9:51:39,18.88,3700
V003,V003_12,2020/12/9,000001.SZSE,9:51:45,18.8699,8500
